Year,Emissions Produced
,
,
1800,0.25
1805,1.78
1810,3.7
1815,6.32
1820,10.03
1825,14.78
1830,23.02
1835,39.53
1840,65.99
1845,107.4
1850,189.97
1855,342.88
1860,558.38
1865,823.8
1870,1230.56
1875,1869.44
1880,2667.49
1885,3906.71
1890,5612.72
1895,7849.68
1900,10665.82
1905,14923.52
1910,20668.8
1915,27425.87
1920,35608.04
1925,43852.46
1930,53146.27
1935,60157.96
1940,68711.79
1945,80008.71
1950,92016.92
1955,104985.39
1960,119117.27
1965,134735.61
1970,154163.4
1975,176829.37
1980,200665.63
1985,222786.48
1990,246917.08
1995,273278.06
2000,302188.1
2005,332262.66
2010,361561.77
2015,388982.81
2019,410238.26
